"","id","age","highest_education","profession","hispanic","weekly_hours_worked","in_college","is_married","schoolmeals_purchases","self_employed","sex","supp_security","reason_unemployment","main_profession","numweeks_schoolmeals","psu","psu_popsize","net_income","total_food_percent","rent_income_percent","alcbev_percent","bakery_percent","beef_percent","cereal_percent","child_age","housing_type","census_division","eggs_percent","fam_size","food_away_percent","food_home_percent","fresh_fruit_percent","fresh_veg_percent","value_foodstamps","number_foodstamps","non_alc_grocery_percent","milk_percent","number_earners","non_alc_bevs_percent","oils_percent","othdairy_percent","othmeat_percent","members_under18","members_over64","pet_food_percent","pork_percent","procfruit_percent","proc_veg_percent","spouse_race","seafood_percent","smoking_percent","lives_in_MSA","state","sweets_percent","vehicle"
"10","360905","34","Bachelor’s degree","Paid employee of a PRIVATE company","No","44.5","Not at all","Married","","No","Male","","","103","","Honolulu, HI","0.33-1.19 mil","124282.6","0.10129840170707699","","0.00598313842806636","0.0031756657810506103","0.00262128407355495","0.00661910838685383","6","House, apartment, flat","Pacific","0","5","0.0310864814543629","0.0702119202527144","0.00284931277588335","0.0022154348235392603","","","0.0418401288675969","0.00006501312331734289","2","0.00041003326290245","0","0.0024016233970000603","0","2","0","0.00110247065960963","0.00140373632350788","0.00476140666513253","0.00342252254136943","4","0","0","Yes","Hawaii","0.0026819522604129603","3"
"11","360906","88","Grade 8 or lower","","No","","","Widowed","","No","Male","","Retired","930","","Dallas-Fort Worth-Arlington, TX","4 mil+","13367","0.0367038228473105","","0","0.00484327074137802","0","0","0","House, apartment, flat","West South Central","0","1","0","0.0367038228473105","0","0.00247026258696791","","","0.15560709209246698","0.000108476097852921","0","0","0","0.00964763970973292","0","0","1","0","0","0","0","","0","0","Yes","Texas","0","1"
"12","360908","58","High school graduate","Paid employee of a PRIVATE company","No","37.5","Not at all","Married","","No","Female","","","106","","Rest of America","1.20-4 mil","3063.6","3.39889540409975","","0","0.292283587935762","0.41644470557514","0","0","House, apartment, flat","East South Central","0.0151912782347565","2","0.649358911084998","2.74953649301475","0.0745985115550333","0.12339731035383199","","","2.5460242851547203","0.000455346650998825","2","0.28337250293772","0","0.24144796970883897","0.163115289202246","0","0","0.0847826086956522","0.33938503721112395","0","0.330983157070114","1","0.0234234234234234","0.845619532576054","Yes","Kentucky","0","3"
"13","360909","70","Master’s or greater","Paid employee of a PRIVATE company","No","17.5","Not at all","Married","","No","Male","","","103","","New York-Newark-Jersey City, NY-NJ-PA","4 mil+","122408","0","","0","0","0","0","0","House, apartment, flat","Middle Atlantic","0","2","0","0","0","0","","","0.0424808836023789","0","2","0","0","0","0","0","2","0","0","0","0","1","0","0","Yes","New York","0","2"
"14","360910","63","Master’s or greater","A State government employee","No","70","Part time","Married","","No","Female","","","102","","Rest of America","< 125,000","139608","0.0286840258437912","","0","0.0015843354249040198","0","0","5","House, apartment, flat","West South Central","0","3","0.0200892498997192","0.00859477594407197","0","0.000365303277749126","","","0.0689072259469371","0","1","0.0010742841384447901","0","0.00112858861956335","0.000839122399862472","1","0","0.00301515672454301","0.0011376936851756302","0","0.000809952294997421","1","0","0","No","","0","2"
"15","360911","50","Some college but no degree","Paid employee of a PRIVATE company","No","65","Not at all","Divorced","","No","Male","","","101","","Rest of America","0.33-1.19 mil","48012","0.0266974922935933","","0","0.000546946596684162","0.0035849370990585702","0","0","House, apartment, flat","South Atlantic","0","1","0","0.0266974922935933","0.010971423810714002","0","","","0.0140798133799883","0","1","0.00190077480629843","0","0.00528534533033408","0.0035849370990585702","0","0","0","0","0","0","","0","0","Yes","North Carolina","0","1"
"16","360916","51","Bachelor’s degree","Self-employed","No","75","Not at all","Married","","Yes","Female","","","206","","Rest of America","1.20-4 mil","76481.2","0.0854236518255467","","0.0198699366641737","0.00294739099281915","0","0.00257684241356046","0","House, apartment, flat","New England","0.00111844479427624","2","0.0556165881288474","0.0298070636966993","0.00215530091055057","0.00275701741081468","","","0.0169976412503988","0.000022162309168789198","2","0","0","0.00410663012609635","0.00322275278107561","0","0","0.0156310308938667","0.0016963645967898","0.000673106593515792","0","1","0","0.007220598003169409","Yes","Connecticut","0","2"
"17","360917","70","Master’s or greater","","No","","Not at all","Divorced","","No","Male","","Retired","930","","Washington-ArlingtonAlexandria, DC-VA-MD-WV","4 mil+","48066.8","0.183283258714955","","0","0","0.0041713602736192104","0","0","House, apartment, flat","South Atlantic","0","1","0.0597601671007847","0.12352309161417","0.0236762555443674","0.00124464287200313","","","0.189319863190393","0","0","0.007228665107725079","0","0","0","0","1","0.00333115872078025","0.0038762863348506702","0","0.0030360847820117","","0.0332391588372848","0","Yes","","0","2"
"18","360919","67","Bachelor’s degree","Paid employee of a PRIVATE company","No","43.5","Not at all","Married","","No","Male","","","103","","Rest of America","1.20-4 mil","245895","0.0617234998678298","","0.0129399947131906","0.00184721120803595","0","0.00174147501982554","0","House, apartment, flat","Pacific","0.000675654242664552","2","0.0237737245572297","0.0379497753106001","0.00688131112873381","0.005960348929421089","","","0.0380650277557494","0.00000546981435165416","2","0.00162622257467618","0.0006005815490351571","0","0","0","1","0.00332328839545334","0","0.000950568332011631","0.00270367433254031","1","0.00305471847739889","0","Yes","Oregon","0","1"
"19","360920","68","Some college but no degree","","Yes","58","Not at all","Divorced","","No","Male","","Retired","930","","Houston-The Woodlands-Sugar Land, TX","4 mil+","38196.6","0.127125450956368","","0","0.00678646790552039","0.0050302906541419895","0.00169491525423729","7","House, apartment, flat","West South Central","0.0033217616227622397","4","0.0611462800353958","0.06597917092097201","0.00340344428561704","0","","","","0","1","0.0134980600367572","0","0.00339663739704581","0.0102103328568511","2","1","0","0","0.00196038390851542","0.00258661765706895","","0","0","Yes","Texas","0","3"
