i,t,m,prices
alcbev,,,15.778444
bakery,,,7.753568
beef,,,5.419872
cereal,,,3.725519
eggs,,,1.40655
fresh_fruit,,,7.978605
fresh_veg,,,7.051676
milk,,,3.20018
miscellaneous,,,
non_alc_bevs,,,8.13343
oils,,,2.293581
othdairy,,,6.598775
othmeat,,,2.426467
pork,,,3.7507
poultry,,,
proc_veg,,,2.523253
procfruit,,,2.385573
seafood,,,3.193835
sweets,,,3.019622
