,Beer,Liquor and cocktails,Wine,Cookies and brownies,Tortillas,Yeast breads,"Beef, excludes ground",Burgers,Ground beef,Oatmeal,"Pasta, noodles, cooked grains","Read to eat cereal, higher sugar","Egg rolls, dumplings, sushi",Egg/breakfast sandwiches,Eggs and omelets,Apples,Bananas,Grapes,"Beans, peas, legumes",French fries and other fried potatoes,Other starchy vegetables,"Flavored milk,whole","Milk, non fat","Milk, whole",Coffee,Soft drinks,Sports and energy drinks,Butter and animal fats,Margarine,Salad dressings and vegetable oils,Cheese,Mayonnaise,Meat mixed dishes,Other sandwiches,Sausages,Bacon,Pork,"Chicken patties, nuggets and tenders","Chicken, whole pieces",Chicken/turkey sandwiches,Mashed potatoes and white potato mixtures,Processed soy products,Apple juice,Citrus juice,Nutrition bars,Fish,Seafood mixed dishes,Shellfish,Candy containing chocolate,Ice cream and frozen dairy desserts,Sugars and honey
Protein,0.36,0.35,0.36,3.45,11.63,3.57,16.96,17.88,20.54,11.67,10.94,4.62,9.78,9.78,12.0,0.32,5.0,0.88,0.83,2.38,0.61,3.23,3.75,3.33,4.0,0.0,0.0,0.85,0.0,0.0,25.0,1.33,14.29,12.68,11.98,15.94,20.71,12.99,16.67,13.95,2.7,13.6,0.0,0.83,4.17,17.14,15.29,17.7,4.55,3.5,0.12
Riboflavin,0.0,0.04,0.015,0.0,0.233,0.243,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.237,0.189,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0
"Sodium, Na",3.0,3.0,5.0,310.0,419.0,821.0,536.0,53.0,67.0,150.0,2234.0,531.0,392.0,511.0,140.0,0.0,0.0,0.0,242.0,345.0,170.0,58.0,58.0,52.0,113.0,8.0,47.0,643.0,750.0,1567.0,607.0,600.0,375.0,901.0,827.0,1069.0,55.0,623.0,500.0,535.0,180.0,151.0,0.0,0.0,208.0,550.0,412.0,221.0,205.0,80.0,28.0
"Sugars, total",0.0,0.0,3.8,44.83,2.33,7.14,0.0,0.0,0.0,16.67,3.12,34.28,1.09,8.7,0.0,10.39,42.5,15.43,1.67,1.19,0.61,0.0,5.42,5.0,43.33,11.55,5.78,0.06,0.0,6.67,3.57,0.0,0.0,2.82,0.94,0.0,0.0,0.0,0.0,4.07,2.7,52.2,45.0,9.58,29.17,2.86,0.0,0.0,50.0,21.22,97.02
Thiamin,0.0,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.212,0.03,0.485,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0
Total lipid (fat),0.0,0.0,0.0,24.14,5.81,16.07,12.5,23.18,9.82,11.67,17.19,4.02,3.8,8.7,10.0,0.0,22.5,0.29,0.0,4.17,0.0,3.24,0.0,3.75,16.0,0.0,0.0,81.11,78.57,33.33,28.57,73.33,1.79,4.93,28.23,16.93,9.03,14.29,5.56,12.21,6.31,27.2,0.0,0.0,10.42,11.43,1.18,1.33,22.73,11.0,0.0
"Vitamin A, IU",0.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,0.0,1172.0,2778.0,1630.0,0.0,600.0,0.0,0.0,0.0,250.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,2499.0,0.0,0.0,714.0,0.0,0.0,141.0,0.0,34.0,6.0,0.0,0.0,116.0,0.0,1577.0,0.0,0.0,0.0,0.0,588.0,177.0,0.0,421.0,0.0
"Vitamin A, RAE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0
Vitamin B-12,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1.19,0.53,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0
Vitamin B-6,0.0,0.037,0.037,0.0,0.465,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.244,0.697,0.0,0.0,0.0,0.0,0.32,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.048,0.041
"Vitamin C, total ascorbic acid",0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,22.2,9.8,0.0,0.0,0.0,0.0,0.0,2.0,4.3,7.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.3,1.4,5.4,42.0,120.0,25.0,0.0,0.0,0.0,2.1,0.0,0.6,0.0
Vitamin D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,21.0,0.0,0.0,0.0,0.0,303.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
Vitamin D (D2 + D3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.5,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Vitamin E (alpha-tocopherol),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.11,0.12,0.0,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Vitamin K (phylloquinone),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Water,92.77,94.5,86.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.79,0.0,0.0,0.0,0.0,0.0,16.17,0.0,0.0,0.0,0.0,0.0,0.0,56.49,61.83,69.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1.34
"Zinc, Zn",0.0,0.08,0.11,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.31,2.54,1.77,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.03
