i,t,m,prices
alcbev,17,1,4.842387
bakery,17,1,7.906218
beef,17,1,5.851106
cereal,17,1,4.092479
eggs,17,1,1.07523
fresh_fruit,17,1,8.107099
fresh_veg,17,1,6.532807
milk,17,1,3.284924
non_alc_bevs,17,1,9.937705
oils,17,1,2.429568
othdairy,17,1,5.214702
othmeat,17,1,2.803513
pork,17,1,3.975505
poultry,17,1,8.39843
proc_veg,17,1,3.149823
procfruit,17,1,2.028527
seafood,17,1,2.594154
sweets,17,1,3.492714
