i,t,m,prices
alcbev,17,1,15.778444
bakery,17,1,7.753568
beef,17,1,5.419872
cereal,17,1,3.725519
eggs,17,1,1.40655
fresh_fruit,17,1,7.978605
fresh_veg,17,1,7.051676
milk,17,1,3.20018
non_alc_bevs,17,1,8.13343
oils,17,1,2.293581
othdairy,17,1,6.598775
othmeat,17,1,2.426467
pork,17,1,3.7507
poultry,17,1,4.149816
proc_veg,17,1,2.523253
procfruit,17,1,2.385573
seafood,17,1,3.193835
sweets,17,1,3.019622
