"id","age","net_income","highest_education","profession","hispanic","weekly_hours_worked","in_college","is_married","self_employed","sex","reason_unemployment","main_profession","psu","psu_popsize","total_food_percent","alcbev_percent","bakery_percent","beef_percent","cereal_percent","child_age","housing_type","census_division","lives_in_MSA","eggs_percent","fam_size","fresh_fruit_percent","fresh_veg_percent","non_alc_grocery_percent","milk_percent","number_earners","non_alc_bevs_percent","oils_percent","othdairy_percent","othmeat_percent","pet_food_percent","pork_percent","procfruit_percent","proc_veg_percent","seafood_percent","sweets_percent","smoking_percent","state","vehicle"
"379381","46","109909.8","High school graduate","Paid employee of a PRIVATE company","No","48","Not at all","Married","No","Male","","111","Rest of America","125,000 - 330,000","0.0608497149480756","0","0.00151396872708348","0.00114493884985688","0","0","House, apartment, flat","East South Central","Yes","0.000340642963593783","2","0.0009793485203321269","0.000499136564710335","0.0567738272656305","0","1","0.004698034206230929","0","0","0.00406169422562865","0","0","0.000659995741962955","0.00048257753175785995","0","0","0","Alabama","4"
"379382","24","97000","Bachelor’s degree","Paid employee of a PRIVATE company","No","45","Not at all","Never married","No","Female","","104","New York-Newark-Jersey City, NY-NJ-PA","4 mil+","0.0111987628865979","0","0","0","0","0","House, apartment, flat","Middle Atlantic","Yes","0","2","0","0","0.0214432989690722","0","2","0","0","0","0","0","0","0","0","0","0","0","New York",""
"379383","38","29448","Associate’s degree in college","Paid employee of a PRIVATE company","No","30","Not at all","Never married","No","Male","","111","Rest of America","1.20-4 mil","0.33423434392828005","0.0248637272480304","0.0222229013854931","0.0215872045639772","0.01323485465906","3","House, apartment, flat","New England","Yes","0.0059949741917957105","3","0","0.0135350448247759","0.26487367563162195","0.000192882368921489","1","0.0294892692203206","0.00440573213800598","0.0225584080412931","0.00643643031784841","0.009756180385764741","0.0143384949741918","0.0154244770442814","0.00617155664221679","0.0243242325455039","0.0059773159467536","0.169165987503396","Connecticut","1"
"379385","63","48000","Bachelor’s degree","Paid employee of a PRIVATE company","No","50","Not at all","Never married","No","Male","","110","Rest of America","1.20-4 mil","0.0594370779166667","0","0.0017796675","0.006886446666666671","0.001933165","0","House, apartment, flat","West South Central","Yes","0","1","0.00618522666666667","0","0.0270833333333333","0","1","0.00797044625","0.00318614291666667","0.00665259291666667","0.0055766966666666706","0","0.00348270541666667","0.002244125","0.00298141458333333","0","0.00259054791666667","0.0448175","Oklahoma","2"
"379386","55","316230.8","Master’s or greater","Paid employee of a PRIVATE company","No","40","Not at all","Divorced","No","Male","","103","Washington-ArlingtonAlexandria, DC-VA-MD-WV","4 mil+","0.0507794780900532","0.00360610035455117","0.000328873721345296","0.0045335250709292105","0.00023761126367197598","7","House, apartment, flat","South Atlantic","Yes","0.0006791242345780361","3","0.000688168261915032","0.0018236047848596698","","0.000033504010362052","3","0.00298206246829847","0.0010079979559233301","0.0050367010424032105","0","0","0.0018556699726908301","0.000894536522059205","0.000164436860672648","0.000811495907419518","0.000739965873026916","0","","2"
"379389","37","135999.2","Bachelor’s degree","Paid employee of a PRIVATE company","No","40","Not at all","Married","No","Male","","107","Chicago-Naperville-Elgin, IL-INWI","4 mil+","0.0841449067347455","0.0045232619015406","0.00293457608574168","0.0022444249672056897","0.00264589791704657","3","House, apartment, flat","East North Central","Yes","0.000963535079618115","3","0.00182383425784858","0","0.0325001911775952","0.0000319119524232495","2","0.00233427843693198","0.0043110547709104205","0.005723857199160001","0.00127706633568433","0","0.000919564232730781","0.0012643434667262698","0.00343480182236366","0.00317545985564621","0.00144912617133042","0.0148965582150483","Illinois","2"
"379390","59","106556.8","Some college but no degree","","No","50","Not at all","Married","No","Female","Ill, disabled, unable to work","900","Rest of America","< 125,000","0.0787073817907444","0.0127492032418391","0.00394739237664795","0","0.0007973475179434821","0","House, apartment, flat","","No","0.00086958654914562","2","0.00222359624162888","0.0014334516426919698","0.0488002642722004","0.000012298323523228901","1","0","0","0.00156998746208595","0","0.0040260218024565295","0","0","0.00324926067599628","0.00149800219225803","0","0","","3"
"379393","51","81272.2","High school graduate","Paid employee of a PRIVATE company","No","42","Not at all","Divorced","No","Female","","110","Rest of America","1.20-4 mil","0.22318381931336898","0.000441479374250974","0.0022041977453545","0.023670332536832997","0.00223618900435819","0","House, apartment, flat","East North Central","Yes","0","2","0.00015355804321773","0","0.0895755252103425","0.0000583840476817411","2","0.0127568824272014","0.00394082084648871","0.00757553013207468","0.0038357519545428797","0","0.00351583936450594","0.00858996655683001","0.00564294457391334","0","0.0145528237207803","0","Ohio","3"
"379396","75","11658","Bachelor’s degree","","No","","Not at all","Widowed","No","Female","Retired","930","Los Angeles-Long Beach-Anaheim, CA","4 mil+","0.27668210670784005","0","0.0187785211871676","0","0.004460456338994679","0","House, apartment, flat","Pacific","Yes","0","1","0.0203842854692057","0.023462000343112004","0.11151140847486699","0","0","0","0","0.021833933779379","0","0","0","0","0","0","0","0","California","1"
"379397","29","60000","Bachelor’s degree","Paid employee of a PRIVATE company","Yes","40","Part time","Married","No","Female","","101","Houston-The Woodlands-Sugar Land, TX","4 mil+","0.133618333333333","0","0.0101402513333333","0","0.001414426","2","House, apartment, flat","West South Central","Yes","0.00147566466666667","6","0.00890729666666667","0.00729829966666667","0.0433333333333333","0.0000869761666666667","2","0.0100415553333333","0.005789424333333329","0.00465676033333333","0.004406484333333329","0.00410437733333333","0.0111906773333333","0.00138556166666667","0.0052680159999999995","0.005083299","0.00620423266666667","0","Texas","1"
"379402","20","0","High school graduate","","No","","Not at all","Never married","No","Female","Going to school","920","Rest of America","125,000 - 330,000","","","","","","0","House, apartment, flat","East South Central","Yes","","2","","","","","0","","","","","","","","","","","","Alabama","2"
"379404","45","338722.8","Bachelor’s degree","Paid employee of a PRIVATE company","No","35","Not at all","Married","No","Male","","106","Seattle-Tacoma-Bellevue, WA","1.20-4 mil","0.0391524263498058","0","0.00305571777276286","0.00168448087935031","0.00103087935031241","6","House, apartment, flat","Pacific","Yes","0.000307680498626015","4","0.00178846543545342","0.0017742120695743","0.0307035723606442","0.0000147260385188124","2","0.0035544121033482205","0.000486060578148268","0.000675301278803789","0.000850750702344218","0","0.00148444787301002","0.0012878083790049","0.00211801225072537","0.00050905755384639","0.000883232011544543","0","","1"
"379408","75","58136","Grade 8 or lower","Paid employee of a PRIVATE company","No","35","","Married","No","Male","","111","Rest of America","< 125,000","0.116909660107335","0","0.022061717352415","0.00125223613595707","0.00470483005366726","0","House, apartment, flat","","No","0","2","0.0159749552772809","0.0032737030411449","0.09391771019678001","0.0000544413100316499","1","0.00252236135957066","0.0031350626118068","0.0118112701252236","0","0","0","0.0018291592128801399","0.00158765652951699","0.00369409660107335","0.00272808586762075","0","","4"
"379411","63","54004.2","Master’s or greater","Paid employee of a PRIVATE company","No","40","Not at all","Married","No","Male","","104","Rest of America","125,000 - 330,000","0.0625877246584525","0","0","0","0","0","House, apartment, flat","East North Central","Yes","0","2","0","0","0.144433210750275","0","1","0","0","0","0","0","0","0","0","0","0","0","","1"
"379412","48","-16900","High school graduate","Self-employed","No","85","Not at all","Divorced","Yes","Male","","209","Rest of America","125,000 - 330,000","-0.14803076923076902","0","-0.0059846153846153894","0","0","0","House, apartment, flat","South Atlantic","Yes","0","1","0","0","-0.181538461538462","0","1","-0.0172153846153846","0","0","-0.00307692307692308","0","-0.00615384615384615","0","0","0","0","-0.0164615384615385","Florida","1"
"379413","34","33408","Some high school, no degree","","No","","","Married","No","Female","Taking care of home/family","910","Rest of America","125,000 - 330,000","0.15565136434387","0","0.0215957363505747","0.00977737128831418","0.00548033584770115","4","House, apartment, flat","East South Central","No","0","4","0.0121675844109195","0.007562849616858241","0.31130268199233696","0.0000961015325670498","0","0.0244761811542146","0.00395838481800766","0.00882512751436782","0.0051105938697318","0","0.0126170198754789","0.0107574610871648","0.0037732142001915703","0","0.00232405352011494","0","Kentucky","1"
"379414","43","57736.4","High school graduate","A local government employee","No","40","Not at all","Married","No","Female","","110","Rest of America","1.20-4 mil","0.12171767307972099","0","0.0213096795089406","0.0116524774665549","0.00691469298397545","7","House, apartment, flat","Middle Atlantic","Yes","0.00319601984190216","4","0.00536457035769463","0.00675295515480702","0.0990709500419146","0.0000773667911404244","4","0.00804900582648035","0.0020089967507499603","0.00732683714259982","0.00408432600577798","0","0.00470886477161721","0.0021958670786540197","0.00356307320858245","0.0029610595742027603","0.00701168794729148","0","New York","3"
"379415","27","62000","Bachelor’s degree","A State government employee","No","39","Not at all","Never married","No","Female","","103","Rest of America","1.20-4 mil","0.0398387012903226","0","0.00439623096774194","0","0","0","House, apartment, flat","Middle Atlantic","Yes","0.00131257225806452","1","0.00312337580645161","0.00143287677419355","0.0251612903225806","0.000039631693548387104","1","0.00754304451612903","0.00219033225806452","0.0029177745161290303","0.0021655190322580602","0","0","0","0.00155922838709677","0","0.0035993687096774205","0","New York","1"
"379416","63","66812","Bachelor’s degree","Paid employee of a PRIVATE company","No","20","Not at all","Married","No","Female","","101","Rest of America","< 125,000","0.0886020475363707","0","0.0042495360114949395","0.00116356343171885","0.000930072442076274","0","House, apartment, flat","","No","0.00022181644016045","2","0.00438573908878645","0.000579835957612405","0.0451415913308986","0.0000217775249955098","1","0","0","0.010865114051367999","0.00233490989642579","0","0","0","0.00176285697180147","0.0042728851104592","0.00490720229898821","0.0024750044902113397","","2"
"379417","39","88520","High school graduate","Paid employee of a PRIVATE company","No","45.3333333333333","Not at all","Married","No","Male","","105","Rest of America","125,000 - 330,000","0.26804648599186603","0.0782481337550836","0.00581857207410755","0.0177729326705829","0.0125594215996385","4","House, apartment, flat","Mountain","Yes","0.00272571170356981","6","0.0164864437415273","0.00867058291911432","0.05286940804338","0.000152143075011297","3","0.00498230433800271","0.0021147763217352","0.0132320379575237","0.00332489832806145","0.00309057230004519","0.00969859918662449","0.00966335291459557","0.00160076818798012","0","0.019623875960234998","0.0861055205603253","","3"
"379418","29","24309","Some college but no degree","Paid employee of a PRIVATE company","No","42.5","Not at all","Never married","No","Male","","111","Rest of America","0.33-1.19 mil","0.081960590727714","0","0","0","0","0","House, apartment, flat","West North Central","Yes","0","2","0.00267390678349582","0.0125994487638323","0.37434694968941495","0.000061499856020404","2","0.004053642683779671","0","0","0","0","0","0","0","0","0.00170060471430334","0.0801102472335349","Nebraska","2"
"379420","62","103308","High school graduate","","No","40","Not at all","Never married","No","Female","Retired","930","New York-Newark-Jersey City, NY-NJ-PA","4 mil+","0.0440808069074999","0","0.009858094242459441","0.0015326983389476099","0.0018649088163549801","0","House, apartment, flat","Middle Atlantic","Yes","0","2","0.0015125643706198901","0.00560479343322879","0.0578851589421923","0.00006136988422968211","1","0.0033296550121965397","0","0.00319375072598443","0","0","0.0037851860456111796","0","0.00145216246563674","0.000400162620513416","0.00045049754133271396","0","New Jersey","2"
"379421","57","117290.6","Some college but no degree","Paid employee of a PRIVATE company","No","43.75","Not at all","Widowed","No","Female","","104","Rest of America","0.33-1.19 mil","0.0514123041403147","0","0.00580114689497709","0.00273986150637818","0.00207706329407472","7","House, apartment, flat","South Atlantic","Yes","0","5","0.000155170150037599","0","0.0487677614403882","0.000017051664839296602","4","0.0036265480780216","0","0.00480140778544913","0","0.0051826830112558","0.0023541528477132897","0","0.0012081104538641599","0","0.00028373970292589504","0","North Carolina","4"
"379422","50","63440.4","Bachelor’s degree","Paid employee of a PRIVATE company","No","40","Part time","Married","No","Male","","104","Rest of America","125,000 - 330,000","0.27306943808677103","0.0144712202319027","0.0157171140156746","0","0.0144097452096771","5","House, apartment, flat","South Atlantic","Yes","0.00502865681805285","3","0.0560242369215831","0.0152007238289796","0.16803172741659897","0.000114122861772624","1","0.00845896305824049","0.00503275515286789","0.0126023795562449","0.00761060775152742","0","0","0.00466800335432942","0.000528685191140031","0","0.0148728570437765","0","Florida","3"
"379423","58","187000","Associate’s degree in college","Paid employee of a PRIVATE company","No","38","Not at all","Married","No","Male","","107","Los Angeles-Long Beach-Anaheim, CA","4 mil+","0.0312145836363636","0.00362124524064171","0","0.00145850267379679","0","0","House, apartment, flat","Pacific","Yes","0.00105668449197861","3","0","0.00034064171122994704","0.0111229946524064","0.000013048128342246001","2","0.00240117647058824","0.00102609625668449","0","0","0","0","0.00055475935828877","0","0.0021731550802139","0","0","California","2"
"379424","88","52589.2","Associate’s degree in college","","No","","Not at all","Married","No","Female","Retired","930","Philadelphia-CamdenWilmington, PA-NJ-DE-MD","4 mil+","0.293820784495676","0.0311273037049432","0.00694629315524861","0.0029268366889019","0.00441497493781993","0","House, apartment, flat","Middle Atlantic","Yes","0.000538893917382276","2","0.0149703741452618","0.0130916614057639","0.0939356369748922","0.0000435450624843124","0","0.0108965338890875","0.00598716086192602","0.00460779019266313","0","0","0.00889916560814768","0.00394529675294547","0.00566580210385402","0.0014782502871312","0.005680634046534271","0","Pennsylvania","2"
"379425","71","45490.6","Master’s or greater","Self-employed","No","18","Not at all","Widowed","Yes","Female","","203","New York-Newark-Jersey City, NY-NJ-PA","4 mil+","0.209746189322629","0","0","0","0.00342927989518714","0","House, apartment, flat","Middle Atlantic","Yes","0","1","0.0043666163998716204","0","","0.0000659476902920603","1","0","0","0.00457237319358285","0","0","0","0","0","0.0091447463871657","0","0","New York","1"
"379426","50","25000","High school graduate","Paid employee of a PRIVATE company","No","40","Not at all","Divorced","No","Female","","105","Rest of America","1.20-4 mil","0.09617919999999999","0","0","0","0","0","House, apartment, flat","East North Central","Yes","0","2","0","0","0.156","0","1","0","0","0","0","0","0.008320000000000001","0","0","0","0.0020591999999999997","0","Ohio","2"
"379428","35","30000","Master’s or greater","","No","50","Not at all","Married","No","Female","Taking care of home/family","910","Miami-Fort Lauderdale-West Palm Beach, FL","4 mil+","0.125120666666667","0","0.00932533333333333","0","0","1","House, apartment, flat","South Atlantic","Yes","0","3","0.0214586666666667","0.009394666666666671","0.0433333333333333","0.000199166666666667","1","0","0","0.00172466666666667","0","0","0","0","0","0.0398406666666667","0.00172466666666667","0","Florida","1"
"379429","29","32870","High school graduate","Paid employee of a PRIVATE company","No","40","Not at all","Divorced","No","Female","","110","Rest of America","1.20-4 mil","0.13373349558868303","0","0.00977669607544874","0.00472223912382111","0.0015819896562214802","3","House, apartment, flat","East North Central","Yes","0.0006169759659263769","3","0","0","0.15819896562214802","0.0000649528445390934","2","0.0241174323090964","0.00495162762397323","0.00422391238211135","0.00433465165804685","0.0126242774566474","0","0","0","0","0.0069923942804989295","0.032114390021296","Ohio","2"
"379430","56","50930","Associate’s degree in college","Paid employee of a PRIVATE company","No","32.5","Not at all","Divorced","No","Female","","104","Rest of America","1.20-4 mil","0.20668298998625603","0.0239476795601806","0.0197769487531907","0","0.00350716669939132","6","House, apartment, flat","Middle Atlantic","Yes","0","3","0.00473237777341449","0.0008627527979579821","0.15315138425289598","0.0000996465737286472","2","0.00133510740231691","0","0.00667740035342627","0.00176634596505007","0","0","0","0","0","0.0038287846063224","0.0236261535440801","New York","3"
"379434","77","20789.6","High school graduate","","No","40","Not at all","Divorced","No","Female","Retired","930","Phoenix-Mesa-Scottsdale, AZ","1.20-4 mil","0.0221235617808904","0","0.0040520260130065","0","0","7","Mobile home or trailer with NO permanent room added","Mountain","Yes","0","2","0","0.00121491995997999","0.12506253126563302","0.00008129064532266129","1","0.00248874437218609","0.00186343171585793","0.00560280140070035","0","0","0","0","0.00267452476238119","0","0","0","Arizona","1"
"379438","88","11592","Some high school, no degree","","No","","","Widowed","No","Female","Retired","930","Rest of America","< 125,000","0.0467201518288475","0","0","0","0.00242236024844721","0","House, apartment, flat","","No","0","1","0","0.008567977915804","0.12111801242235999","0.0000646997929606625","0","0","0","0.0049568668046928895","0","0","0","0.0079399585921325","0","0.00623533471359558","0.00314009661835749","0","","1"
"379439","43","98002","Some college but no degree","Paid employee of a PRIVATE company","No","43.5","Not at all","Divorced","No","Male","","103","Detroit-Warren-Dearborn, MI","1.20-4 mil","0.0113548703087692","0","0","0","0","4","House, apartment, flat","East North Central","Yes","0","4","0","0","0.0366114977245362","0","2","0","0","0","0","0","0","0","0","0","0","0","","2"
"379440","55","64700","Bachelor’s degree","Paid employee of a PRIVATE company","No","29.3333333333333","Not at all","Married","No","Female","","104","Washington-ArlingtonAlexandria, DC-VA-MD-WV","4 mil+","0.12432982998454402","0","0.0188510046367852","0.0054370942812983","0.0104442040185471","7","House, apartment, flat","South Atlantic","Yes","0.007233384853168471","3","0.0125619783616692","0.00593941267387944","0.0401854714064915","0","3","0.03594188562596601","0","0","0","0","0","0.00144265842349304","0","0.0130401854714065","0","0","District of Columbia",""
"379441","23","22000","Associate’s degree in college","Paid employee of a PRIVATE company","No","26","Part time","Married","No","Male","","111","Rest of America","0.33-1.19 mil","0.0511490909090909","0","0.00364","0","0","0","House, apartment, flat","Mountain","Yes","0","2","0","0","0.0827272727272727","0.0000581818181818182","2","0.00100454545454545","0","0","0","0","0","0","0","0","0","0","","1"
"379443","51","10966","High school graduate","","No","","Not at all","Never married","No","Male","Doing something else","940","Rest of America","125,000 - 330,000","0.258250062009849","0.007881276673354","0.0199161043224512","0","0.00419660769651651","0","House, apartment, flat","East South Central","No","0.00768192595294547","1","0","0","0.47419296005836203","0.00013359474740105802","0","0.020271749042495","0","0.0210778770745942","0","0.0319463560094839","0.0169761079700894","0","0.0100054714572314","0","0.0044574138245486","0","Tennessee",""
"379444","68","33865","Some college but no degree","Self-employed","No","16","Not at all","Divorced","Yes","Female","","210","Dallas-Fort Worth-Arlington, TX","4 mil+","0.0932744721689059","0","0","0","0","0","House, apartment, flat","West South Central","Yes","0","1","0","0","0.0614203454894434","0.000029381367193267402","1","0.00383877159309021","0","0.00551247600767754","0","0","0","0","0","0","0","0","Texas","1"
"379445","57","91269","Associate’s degree in college","Paid employee of a PRIVATE company","No","40","Not at all","Married","No","Male","","112","Rest of America","125,000 - 330,000","0.0703605824540644","0","0.0115971468954409","0.00878830709222189","0.00453801400256385","0","Housing unit, permanent in transient hotel, motel, etc.","Middle Atlantic","Yes","0","2","0.00171208186788504","0.00647514490133561","0.0569744381991695","0.000021748896120259898","2","0","0","0.00323329936780287","0.00333015591274146","0","0.00093438078646638","0","0.00143575584261907","0","0.0015895868257568301","0","Pennsylvania","2"
"379448","29","84600.6","Some college but no degree","Paid employee of a PRIVATE company","No","47.5","Not at all","Never married","No","Male","","110","Rest of America","1.20-4 mil","0.0753164871171126","0.00492029607355031","0","0","0","0","House, apartment, flat","Middle Atlantic","Yes","0","2","0","0","0.0553187566045631","0","2","0","0","0","0","0","0","0","0","0","0","0","New York","2"
